timescale,pval,comparison,shed,iteration,hierarchy
daily,0.05323317590923594,Drainage Area,W3,8,Drainage Area
hourly,0.2591323352048392,Drainage Area,W3,8,Drainage Area
30mins,0.4942085975866071,Drainage Area,W3,9,Drainage Area
4hr,0.3182593684462358,Drainage Area,W3,9,Drainage Area
daily,0.07682045435557056,Drainage Area,W3,9,Drainage Area
hourly,0.471565440305508,Drainage Area,W3,9,Drainage Area
30mins,0.6493990950104741,Drainage Area,W3,10,Drainage Area
4hr,0.5424577752163692,Drainage Area,W3,10,Drainage Area
daily,0.15433157275503206,Drainage Area,W3,10,Drainage Area
hourly,0.6498627549704306,Drainage Area,W3,10,Drainage Area
30mins,0.5681637664510139,Drainage Area,W3,11,Drainage Area
4hr,0.3769048340334471,Drainage Area,W3,11,Drainage Area
daily,0.15493403848066903,Drainage Area,W3,11,Drainage Area
hourly,0.5369921423118094,Drainage Area,W3,11,Drainage Area
30mins,0.7027693973356144,Drainage Area,W3,12,Drainage Area
4hr,0.5044934677771115,Drainage Area,W3,12,Drainage Area
daily,0.2563753349931954,Drainage Area,W3,12,Drainage Area
hourly,0.6414848172162169,Drainage Area,W3,12,Drainage Area
30mins,0.31407749532993445,Drainage Area,W3,13,Drainage Area
4hr,0.2318956615675708,Drainage Area,W3,13,Drainage Area
daily,0.07956233613384416,Drainage Area,W3,13,Drainage Area
hourly,0.2890504834102303,Drainage Area,W3,13,Drainage Area
30mins,0.6301092524624295,Drainage Area,W3,14,Drainage Area
4hr,0.41732182002221285,Drainage Area,W3,14,Drainage Area
daily,0.2430304786092394,Drainage Area,W3,14,Drainage Area
hourly,0.540172778877166,Drainage Area,W3,14,Drainage Area
30mins,0.4767472850996868,Drainage Area,W3,15,Drainage Area
4hr,0.2798806727175812,Drainage Area,W3,15,Drainage Area
daily,0.057804290002271524,Drainage Area,W3,15,Drainage Area
hourly,0.450797707230579,Drainage Area,W3,15,Drainage Area
30mins,0.4325230721936083,Drainage Area,W3,16,Drainage Area
