timescale,pval,comparison,shed,iteration,hierarchy
4hr,0.09337824785941072,Drainage Area,ZZ,3,Drainage Area
daily,0.039390401310442115,Drainage Area,ZZ,3,Drainage Area
hourly,0.13648522460919432,Drainage Area,ZZ,3,Drainage Area
30mins,0.7627425305146405,Drainage Area,ZZ,4,Drainage Area
4hr,0.6508855440336536,Drainage Area,ZZ,4,Drainage Area
daily,0.24583514020459343,Drainage Area,ZZ,4,Drainage Area
hourly,0.7320446458361425,Drainage Area,ZZ,4,Drainage Area
30mins,0.373246967242157,Drainage Area,ZZ,5,Drainage Area
4hr,0.2205921452355321,Drainage Area,ZZ,5,Drainage Area
daily,0.10152937880017708,Drainage Area,ZZ,5,Drainage Area
hourly,0.33517059220798473,Drainage Area,ZZ,5,Drainage Area
30mins,0.5834582578449771,Drainage Area,ZZ,6,Drainage Area
4hr,0.5322062633034588,Drainage Area,ZZ,6,Drainage Area
daily,0.27232824276689305,Drainage Area,ZZ,6,Drainage Area
hourly,0.647267627700487,Drainage Area,ZZ,6,Drainage Area
30mins,0.4001727642586643,Drainage Area,ZZ,7,Drainage Area
4hr,0.19815485046637904,Drainage Area,ZZ,7,Drainage Area
daily,0.13963084883351312,Drainage Area,ZZ,7,Drainage Area
hourly,0.33834951010679604,Drainage Area,ZZ,7,Drainage Area
30mins,0.20551024293423553,Drainage Area,ZZ,8,Drainage Area
4hr,0.1552794113205967,Drainage Area,ZZ,8,Drainage Area
daily,0.04359349866787297,Drainage Area,ZZ,8,Drainage Area
hourly,0.20869665057082484,Drainage Area,ZZ,8,Drainage Area
30mins,0.11098549055952292,Drainage Area,ZZ,9,Drainage Area
