up,down,total,points,prop,timescale,shed,hierarchy
r_18,r_31,49,13,0.2653061224489796,4hr,W3,Flow Permanence
r_19,r_12,9,6,0.6666666666666666,4hr,W3,Flow Permanence
r_2,r_21,95,60,0.631578947368421,4hr,W3,Flow Permanence
r_20,r_25,19,0,0,4hr,W3,Flow Permanence
r_21,r_27,94,32,0.3404255319148936,4hr,W3,Flow Permanence
r_22,r_24,75,44,0.5866666666666667,4hr,W3,Flow Permanence
r_23,r_6,43,34,0.7906976744186046,4hr,W3,Flow Permanence
r_24,r_13,64,31,0.484375,4hr,W3,Flow Permanence
r_25,r_11,26,7,0.2692307692307692,4hr,W3,Flow Permanence
r_26,r_19,18,16,0.8888888888888888,4hr,W3,Flow Permanence
r_27,r_14,89,54,0.6067415730337079,4hr,W3,Flow Permanence
r_28,r_29,61,40,0.6557377049180327,4hr,W3,Flow Permanence
r_29,r_22,84,55,0.6547619047619048,4hr,W3,Flow Permanence
r_3,r_9,54,23,0.42592592592592593,4hr,W3,Flow Permanence
r_30,r_23,34,32,0.9411764705882353,4hr,W3,Flow Permanence
r_31,r_4,35,19,0.5428571428571428,4hr,W3,Flow Permanence
r_4,r_20,26,24,0.9230769230769231,4hr,W3,Flow Permanence
r_5,r_2,71,33,0.4647887323943662,4hr,W3,Flow Permanence
r_6,r_26,22,2,0.09090909090909091,4hr,W3,Flow Permanence
r_7,r_18,62,44,0.7096774193548387,4hr,W3,Flow Permanence
r_8,r_16,74,26,0.35135135135135137,4hr,W3,Flow Permanence
r_9,r_8,72,54,0.75,4hr,W3,Flow Permanence
r_1,r_5,37,15,0.40540540540540543,daily,W3,Flow Permanence
r_10,r_30,8,0,0,daily,W3,Flow Permanence
r_11,r_10,10,8,0.8,daily,W3,Flow Permanence
r_13,r_3,32,14,0.4375,daily,W3,Flow Permanence
r_14,r_17,48,14,0.2916666666666667,daily,W3,Flow Permanence
r_15,r_28,20,4,0.2,daily,W3,Flow Permanence
r_16,r_1,31,6,0.1935483870967742,daily,W3,Flow Permanence
r_17,r_7,38,26,0.6842105263157895,daily,W3,Flow Permanence
r_18,r_31,25,5,0.2,daily,W3,Flow Permanence
r_2,r_21,48,27,0.5625,daily,W3,Flow Permanence
r_20,r_25,6,0,0,daily,W3,Flow Permanence
r_21,r_27,44,17,0.38636363636363635,daily,W3,Flow Permanence
r_22,r_24,41,21,0.5121951219512195,daily,W3,Flow Permanence
r_23,r_6,17,13,0.7647058823529411,daily,W3,Flow Permanence
r_24,r_13,32,10,0.3125,daily,W3,Flow Permanence
r_25,r_11,12,2,0.16666666666666666,daily,W3,Flow Permanence
r_26,r_19,6,6,1,daily,W3,Flow Permanence
r_27,r_14,45,28,0.6222222222222222,daily,W3,Flow Permanence
r_28,r_29,25,13,0.52,daily,W3,Flow Permanence
r_29,r_22,44,28,0.6363636363636364,daily,W3,Flow Permanence
